game_id,home_goals_p10,home_goals_p50,home_goals_p90,away_goals_p10,away_goals_p50,away_goals_p90,total_goals_p10,total_goals_p50,total_goals_p90,margin_p10,margin_p50,margin_p90,analysis_type,model,bucket,games,average_expected_total,average_actual_total,average_total_error,score_mae,margin_mae,total_goals_mae
e4d831c631270100,5.0,8.0,12.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,9.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1048a8626adef5ff,4.0,8.0,11.0,2.0,4.0,7.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
490b6386fc0bec82,2.0,5.0,8.0,3.0,6.0,10.0,7.0,11.0,16.0,-5.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
cf07d773e14b264a,3.0,6.0,9.0,4.0,7.0,10.0,8.0,12.0,17.0,-6.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
0233589df3007f39,2.0,5.0,8.0,4.0,8.0,11.0,9.0,13.0,18.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
122a20e601ca951b,5.0,9.0,13.0,2.0,4.0,7.0,9.0,13.0,19.0,0.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
d96b7202084f33d1,3.0,6.0,9.0,3.0,6.0,9.0,8.0,12.0,16.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
fc4520e84414c277,4.0,7.0,11.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,2.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
42596b71e414a689,4.0,7.0,11.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
66b11ff9f3979316,2.0,5.0,8.0,4.0,7.0,11.0,8.0,12.0,17.0,-7.0,-2.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e18fd02ae77e13cb,4.0,7.0,11.0,2.0,4.0,7.0,8.0,12.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
