feature_a,feature_b,correlation,abs_correlation
rolling_margin_std_last_5,recent_opponent_avg_power,-0.12996965790866702,0.12996965790866702
offense_defense_ratio,offensive_sos,0.12964280053895919,0.12964280053895919
rolling_margin_std_last_5,volatility_mismatch,0.12942003434487204,0.12942003434487204
volatility_mismatch,recent_result_volatility,0.129420034344872,0.129420034344872
power_rating_trend,volatility_mismatch,-0.12863139279815247,0.12863139279815247
power_rating_trend,opponent_win_pct,-0.12625523604686234,0.12625523604686234
pregame_away_elo,power_v3_calibrated_win_probability,0.125987110461588,0.125987110461588
rolling_goals_against_std_last_5,offense_vs_opponent_defense_gap,0.12592964183022662,0.12592964183022662
elo_home_probability,rolling_goals_for_std_last_5,0.12572345737107116,0.12572345737107116
elo_diff_home,rolling_goals_for_std_last_5,0.12569814619996886,0.12569814619996886
volatility_mismatch,recent_opponent_avg_power,0.12518096627850545,0.12518096627850545
rolling_margin_last_3,strength_gap_absolute,0.1250625623489811,0.1250625623489811
pregame_away_elo,power_v3_recency_win_probability,0.12499634895307371,0.12499634895307371
opponent_win_pct,recent_result_volatility,-0.12487228731337816,0.12487228731337816
rolling_margin_std_last_5,opponent_win_pct,-0.12487228731337813,0.12487228731337813
offense_defense_ratio,rating_stability,-0.12476378087567341,0.12476378087567341
defensive_trend,elo_trend,-0.12287296307424851,0.12287296307424851
projected_pace_interaction,opponent_win_pct,0.1218109879945273,0.1218109879945273
rolling_margin_last_3,games_played,0.12162711939103904,0.12162711939103904
rolling_margin_std_last_5,offense_defense_ratio,0.12078206613575139,0.12078206613575139
offense_defense_ratio,recent_result_volatility,0.12078206613575138,0.12078206613575138
close_game_rate,recent_result_volatility,-0.12068498457806953,0.12068498457806953
rolling_margin_std_last_5,close_game_rate,-0.12068498457806953,0.12068498457806953
upset_rate,power_rating_trend,0.12051962728582542,0.12051962728582542
offensive_sos,opponent_games_played,-0.11996127370267606,0.11996127370267606
pregame_away_elo,offensive_trend,-0.11912850844401465,0.11912850844401465
offensive_trend,rating_stability,0.11885748509125389,0.11885748509125389
volatility_mismatch,rating_stability,-0.11832668107481534,0.11832668107481534
elo_trend,games_played,0.11790019063428253,0.11790019063428253
rolling_margin_std_last_3,games_played,0.11716146093171274,0.11716146093171274
rolling_margin_std_last_3,recent_opponent_avg_power,-0.11607042516423659,0.11607042516423659
recent_vs_season_margin_delta,volatility_mismatch,-0.11580796423606535,0.11580796423606535
pregame_home_elo,offense_defense_ratio,0.11571338906721872,0.11571338906721872
pregame_home_elo,opponent_games_played,0.1148493059800178,0.1148493059800178
rolling_trend_slope,opponent_win_pct,-0.11400805676098702,0.11400805676098702
power_v3_recency_home_probability,rolling_goals_for_std_last_5,0.11380486900343087,0.11380486900343087
rolling_margin_std_last_3,close_game_rate,-0.11376997538537949,0.11376997538537949
power_v3_calibrated_home_probability,rolling_goals_for_std_last_5,0.11364131636849441,0.11364131636849441
offensive_trend,offensive_sos,0.11326812876607703,0.11326812876607703
pregame_home_elo,rolling_trend_slope,-0.11311321638098713,0.11311321638098713
rolling_margin_std_last_3,offense_defense_ratio,0.11244123489759715,0.11244123489759715
defense_vs_opponent_offense_gap,opponent_win_pct,-0.11169802190222339,0.11169802190222339
upset_rate,defensive_trend,0.11166988376583495,0.11166988376583495
elo_trend,power_rating_trend,-0.11118458595323226,0.11118458595323226
power_v3_recency_home_probability,games_played,0.11086328555323217,0.11086328555323217
power_v3_calibrated_home_probability,games_played,0.11080354905596589,0.11080354905596589
rolling_margin_last_3,volatility_mismatch,-0.10944789144519074,0.10944789144519074
recent_vs_season_margin_delta,defensive_sos,-0.10938070232330908,0.10938070232330908
rolling_margin_std_last_3,opponent_win_pct,-0.10877593367686467,0.10877593367686467
rolling_goals_for_std_last_5,recent_vs_season_margin_delta,0.10823587850527712,0.10823587850527712
elo_diff_home,games_played,0.10818199407175132,0.10818199407175132
pregame_away_elo,opponent_win_pct,-0.10687959389674798,0.10687959389674798
power_rating_trend,offensive_sos,0.10669180659203804,0.10669180659203804
elo_home_probability,games_played,0.10620536331829764,0.10620536331829764
rolling_margin_last_5,strength_gap_absolute,0.10580254660957546,0.10580254660957546
rolling_goals_for_std_last_5,defensive_sos,0.10568113353703631,0.10568113353703631
upset_rate,offensive_sos,0.10542232573681393,0.10542232573681393
recent_vs_season_margin_delta,opponent_win_pct,-0.10535267068061774,0.10535267068061774
rolling_goals_against_std_last_5,offensive_sos,0.10356704931381852,0.10356704931381852
defense_vs_opponent_offense_gap,defensive_sos,-0.10276473916119125,0.10276473916119125
rolling_trend_slope,strength_gap_absolute,0.10224592333682188,0.10224592333682188
rolling_goals_for_std_last_5,offense_vs_opponent_defense_gap,0.10189748221633464,0.10189748221633464
upset_rate,recent_vs_season_margin_delta,0.10170171750374707,0.10170171750374707
offensive_trend,offense_defense_ratio,-0.10121597406489506,0.10121597406489506
pregame_home_elo,opponent_win_pct,0.10028781019425816,0.10028781019425816
upset_rate,elo_trend,0.09988686637195034,0.09988686637195034
pregame_away_elo,recent_opponent_avg_power,-0.09890997891034758,0.09890997891034758
rolling_margin_std_last_5,rolling_margin_last_3,0.09840486081662542,0.09840486081662542
rolling_margin_last_3,recent_result_volatility,0.09840486081662538,0.09840486081662538
projected_pace_interaction,recent_opponent_avg_power,0.09746439330716228,0.09746439330716228
recent_vs_season_margin_delta,offense_vs_opponent_defense_gap,-0.0973982739299628,0.0973982739299628
power_rating_trend,rating_stability,0.09665746267726198,0.09665746267726198
predicted_win_probability,offensive_trend,0.09622030077219576,0.09622030077219576
rolling_trend_slope,recent_result_volatility,-0.09600961499527737,0.09600961499527737
rolling_margin_std_last_5,rolling_trend_slope,-0.09600961499527734,0.09600961499527734
rolling_goals_against_std_last_5,defense_vs_opponent_offense_gap,-0.09596867344407983,0.09596867344407983
defense_vs_opponent_offense_gap,strength_gap_absolute,0.09541056416712689,0.09541056416712689
upset_rate,offensive_trend,0.09498380111493698,0.09498380111493698
rolling_goals_for_std_last_5,upset_rate,0.09482319352659548,0.09482319352659548
rolling_margin_last_5,opponent_win_pct,0.09478679712937442,0.09478679712937442
defense_vs_opponent_offense_gap,games_played,-0.09393162725195948,0.09393162725195948
offensive_trend,defensive_sos,-0.0938368852769316,0.0938368852769316
rolling_margin_last_5,offense_defense_ratio,0.09368100252623465,0.09368100252623465
rolling_margin_last_5,recent_opponent_avg_power,0.09355826244834228,0.09355826244834228
volatility_mismatch,offense_defense_ratio,-0.0929152769352944,0.0929152769352944
recent_opponent_avg_power,rating_stability,0.0927843428959557,0.0927843428959557
rolling_trend_slope,projected_pace_interaction,0.0919618516155065,0.0919618516155065
pregame_away_elo,rolling_trend_slope,0.09175559852172695,0.09175559852172695
elo_trend,defensive_sos,0.09172468160030837,0.09172468160030837
strength_gap_absolute,games_played,0.09163067347343969,0.09163067347343969
recent_vs_season_margin_delta,strength_gap_absolute,0.09135433835932258,0.09135433835932258
pregame_home_elo,offensive_trend,-0.09103260951955983,0.09103260951955983
predicted_win_probability,defensive_sos,-0.09094549153762106,0.09094549153762106
predicted_win_probability,rolling_margin_last_5,0.09067957293232506,0.09067957293232506
power_rating_trend,games_played,-0.09034153725621999,0.09034153725621999
elo_home_probability,defensive_sos,0.09007519189931928,0.09007519189931928
elo_trend,defense_vs_opponent_offense_gap,0.09000845579644784,0.09000845579644784
elo_diff_home,defensive_sos,0.0898549597974063,0.0898549597974063
pregame_away_elo,offense_defense_ratio,0.0893150368467698,0.0893150368467698
rolling_goals_for_std_last_5,offensive_trend,0.08928079889198579,0.08928079889198579
rolling_goals_for_std_last_5,elo_trend,0.08920939399883157,0.08920939399883157
rolling_goals_for_std_last_5,volatility_mismatch,0.087912399619762,0.087912399619762
rolling_goals_against_std_last_5,volatility_mismatch,0.08757821988112147,0.08757821988112147
close_game_rate,upset_rate,0.08739577917869752,0.08739577917869752
upset_rate,recent_result_volatility,0.08658803664785668,0.08658803664785668
rolling_margin_std_last_5,upset_rate,0.08658803664785668,0.08658803664785668
rolling_margin_last_5,offensive_sos,-0.08631205758026636,0.08631205758026636
volatility_mismatch,offensive_sos,-0.08480469997836017,0.08480469997836017
predicted_win_probability,defense_vs_opponent_offense_gap,0.08439411291381262,0.08439411291381262
rolling_margin_std_last_3,volatility_mismatch,0.08438380771850611,0.08438380771850611
rolling_margin_last_3,opponent_games_played,-0.0843424901672157,0.0843424901672157
offensive_trend,opponent_win_pct,-0.08411061807707867,0.08411061807707867
close_game_rate,defensive_sos,0.08407681793393787,0.08407681793393787
power_v3_recency_home_probability,defensive_sos,0.08352382581103118,0.08352382581103118
defensive_trend,strength_gap_absolute,0.0834343755457307,0.0834343755457307
power_v3_calibrated_home_probability,defensive_sos,0.083093944416092,0.083093944416092
power_rating_trend,strength_gap_absolute,0.08301376327616419,0.08301376327616419
rolling_margin_last_3,offense_defense_ratio,0.0829254593698783,0.0829254593698783
close_game_rate,defense_vs_opponent_offense_gap,-0.08261664748633178,0.08261664748633178
