game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,power_v3_recency_predicted_winner,power_v3_recency_win_probability,elo_correct,power_v2_correct,power_v3_recency_correct
2026-05-09,Connecticut Valley Youth Lacrosse,Meriden 12U,Meriden 12U,Connecticut Valley Youth Lacrosse,0.6181970242511403,Connecticut Valley Youth Lacrosse,0.6018641180258979,Connecticut Valley Youth Lacrosse,0.6012288424991837,False,False,False
2026-05-09,Connecticut Valley Youth Lacrosse,Newington 12U,Newington 12U,Connecticut Valley Youth Lacrosse,0.64918482049175,Connecticut Valley Youth Lacrosse,0.6149528242385283,Connecticut Valley Youth Lacrosse,0.6129749531372732,False,False,False
2026-05-09,RHAM 12U,Connecticut Valley Youth Lacrosse,RHAM 12U,RHAM 12U,0.6169439908349795,RHAM 12U,0.6899873217731209,RHAM 12U,0.6876153468252861,True,True,True
2026-05-09,Wolcott 12U,Connecticut Valley Youth Lacrosse,Wolcott 12U,Wolcott 12U,0.5789221311675142,Wolcott 12U,0.5866556504981568,Wolcott 12U,0.5911220890991683,True,True,True
2026-05-09,Connecticut Valley Youth Lacrosse,Berkshire,Berkshire,Berkshire,0.5290262672210457,Berkshire,0.5015691597022193,Berkshire,0.5017848834849499,True,True,True
2026-05-09,Middletown 12U,Newington 12U,Newington 12U,Middletown 12U,0.5401598367952389,Middletown 12U,0.5088484202515231,Middletown 12U,0.50208174125049,False,False,False
2026-05-09,Bristol 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5307991786100194,Connecticut Valley Youth Lacrosse,0.5855877593489449,Connecticut Valley Youth Lacrosse,0.587829571501612,True,True,True
2026-05-10,Middletown 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5524620054868262,Connecticut Valley Youth Lacrosse,0.5986110444004301,Connecticut Valley Youth Lacrosse,0.5997117195252886,True,True,True
2026-05-10,Connecticut Valley Youth Lacrosse,Simsbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.6013345999429429,Connecticut Valley Youth Lacrosse,0.6082477565300985,Connecticut Valley Youth Lacrosse,0.6091436729395778,True,True,True
2026-05-10,Connecticut Valley Youth Lacrosse,Simsbury 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5782808705782727,Connecticut Valley Youth Lacrosse,0.6044533178742099,Connecticut Valley Youth Lacrosse,0.6027608254572968,True,True,True
2026-05-10,Avon 12U B,Connecticut Valley Youth Lacrosse,Avon 12U B,Connecticut Valley Youth Lacrosse,0.516685389463845,Avon 12U B,0.5224428511267913,Avon 12U B,0.5219802350030398,False,True,True
2026-05-10,Connecticut Valley Youth Lacrosse,Vernon 12U,Vernon 12U,Connecticut Valley Youth Lacrosse,0.5603168337337584,Connecticut Valley Youth Lacrosse,0.5615068858528455,Connecticut Valley Youth Lacrosse,0.5570554278522302,False,False,False
2026-05-10,Avon 12U,Connecticut Valley Youth Lacrosse,Avon 12U,Avon 12U,0.5125594396186868,Avon 12U,0.5179004940676947,Avon 12U,0.5173756634998057,True,True,True
2026-05-11,Berlin 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Berlin 12U A,0.5114953638573825,Connecticut Valley Youth Lacrosse,0.5403020058717987,Connecticut Valley Youth Lacrosse,0.5381122026323282,False,True,True
2026-05-11,Vernon 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5008932111538817,Connecticut Valley Youth Lacrosse,0.5295816260090203,Connecticut Valley Youth Lacrosse,0.5206777452718068,True,True,True
2026-05-11,Connecticut Valley Youth Lacrosse,Glastonbury 12U White,Glastonbury 12U White,Connecticut Valley Youth Lacrosse,0.5334286749660955,Connecticut Valley Youth Lacrosse,0.5180763152130354,Connecticut Valley Youth Lacrosse,0.5181558330787142,False,False,False
2026-05-11,Connecticut Valley Youth Lacrosse,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5345155696977651,Connecticut Valley Youth Lacrosse,0.5816260830706675,Connecticut Valley Youth Lacrosse,0.585284313630888,True,True,True
