game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,hybrid_predicted_winner,hybrid_win_probability,elo_correct,power_v2_correct,hybrid_correct
2026-05-18,Connecticut Valley Youth Lacrosse,Westfield 12U Red,Westfield 12U Red,Westfield 12U Red,0.5807135459660275,Westfield 12U Red,0.6501130025730711,Westfield 12U Red,0.611163665644473,True,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,0.5165801645090449,Wethersfield 12U B,0.5009756896569562,Wethersfield 12U B,0.503155317446099,False,False,False
2026-05-19,Suffield 12U White,Connecticut Valley Youth Lacrosse,Suffield 12U White,Suffield 12U White,0.5533180019702549,Suffield 12U White,0.5671353239252411,Suffield 12U White,0.5518514252377614,True,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,Meriden 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5372197299434046,Connecticut Valley Youth Lacrosse,0.5421811361875981,Connecticut Valley Youth Lacrosse,0.5331025677907524,True,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,West Springfield 12U,West Springfield 12U,West Springfield 12U,0.6063581714358063,West Springfield 12U,0.6381575605066949,West Springfield 12U,0.6069392259321928,True,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,Longmeadow 12U Black,Connecticut Valley Youth Lacrosse,0.510723566238506,Connecticut Valley Youth Lacrosse,0.5172718491461589,Connecticut Valley Youth Lacrosse,0.5128585996901949,False,False,False
2026-05-19,Wolcott 12U,Connecticut Valley Youth Lacrosse,Wolcott 12U,Wolcott 12U,0.6366381579082113,Wolcott 12U,0.6114447853127549,Wolcott 12U,0.5938602632114834,True,True,True
2026-05-19,Belchertown 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Belchertown 12U,0.5776936788958683,Connecticut Valley Youth Lacrosse,0.5203398756545023,Connecticut Valley Youth Lacrosse,0.501322088256154,False,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,Agawam 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5142858926931478,Connecticut Valley Youth Lacrosse,0.5723793333735161,Connecticut Valley Youth Lacrosse,0.5493898866980895,True,True,True
2026-05-19,Connecticut Valley Youth Lacrosse,Bristol 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5965469400632288,Connecticut Valley Youth Lacrosse,0.5873605298941873,Connecticut Valley Youth Lacrosse,0.5717366148484709,True,True,True
2026-05-19,South Hadley 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.7182377473100636,Connecticut Valley Youth Lacrosse,0.7115170157277435,Connecticut Valley Youth Lacrosse,0.6745925948101348,True,True,True
2026-05-19,Suffield 12U,Connecticut Valley Youth Lacrosse,Suffield 12U,Suffield 12U,0.572038623955004,Suffield 12U,0.6478720761886557,Suffield 12U,0.6083570665478101,True,True,True
2026-05-19,Newington 12U,Connecticut Valley Youth Lacrosse,Newington 12U,Connecticut Valley Youth Lacrosse,0.6136006736923415,Connecticut Valley Youth Lacrosse,0.6146112406422988,Connecticut Valley Youth Lacrosse,0.5923470727383977,False,False,False
2026-05-20,Belchertown 12U,Connecticut Valley Youth Lacrosse,Belchertown 12U,Belchertown 12U,0.5026372027799607,Connecticut Valley Youth Lacrosse,0.5388847831246742,Connecticut Valley Youth Lacrosse,0.5249047567748192,True,False,False
